JobTitle,Standard_Title,CompanyName,Location,Salary_Range_INR (lakhs),Skills_Required,Posting_Date,Source_URL,role_volume
Software Engineer,Software Engineer,Google,"Gurugram, Bengaluru",27.8-48 ,"Unix, C++, Linux, Networking, Machine learning, System design, Distribution system, Android, Python",1 month,"https://www.naukri.com/job-listings-software-engineer-university-graduate-2026-google-india-private-limited-gurugram-bengaluru-0-to-0-years-090725503859?src=jobsearchDesk&sid=17569873908751831&xp=1&px=1 , https://www.ambitionbox.com/salaries/google-salaries/software-engineer?experience=0&campaign=salaries_widget",102707
Software Engineer,Software Engineer,Hewlett Packard Enterprise (HPE),Bengaluru,9.8- 17.2,"Computer science, Development Manager, Coding, Debugging, Cloud, Javascript, Data processing, Test cases, Python, System administration",1 week,"https://www.naukri.com/job-listings-graduate-software-engineer-hewlett-packard-enterprise-bengaluru-0-to-2-years-250825501486?src=jobsearchDesk&sid=17569873908751831&xp=7&px=1, https://www.ambitionbox.com/salaries/hewlett-packard-enterprise-salaries/software-engineer?campaign=CS_desig_table",102707
Software Engineer,Software Engineer,Coriolis Tech,Pune,3.5- 5.5,"Github, Debugging, Software Development, Life Cycle, Cloud Computing, Software Engineering, Database Management System, Source Control Management, Problem Solving, Programming, Multitasking, SDLC, SQL, Strategic Thinking, Agile MethodologySoftware DevelopmentAlgebraAnalytical",1 day,https://www.naukri.com/job-listings-hiring-for-software-engineer-developer-programmer-coriolis-tech-pune-0-to-1-years-030925016682?src=cluster&sid=17569873908751831_2&xp=1&px=1,102707
Software Developer,Software Developer,Tetcos,Bengaluru,4- 5.7,"C#, Multi Treading, C Coding, Networking Protocols, Network Programming",1 day,https://www.naukri.com/job-listings-software-developer-tetcos-llp-bangalore-bengaluru-0-to-2-years-030925025245?src=sortby&sid=17569873908751831_12&xp=2&px=1&nignbevent_src=jobsearchDeskGNB,98619
Software Developer,Software Developer,Amazon,Chennai,20.2- 34,"Unix, Computer science, Object oriented design, C++, Linux, Coding, Agile, Data structures, Perl, Internship",1 month,"https://www.naukri.com/job-listings-software-development-engineer-amazon-development-centre-india-pvt-ltd-chennai-0-to-8-years-110625503512?src=cluster&sid=17569873908751831_17&xp=3&px=1&nignbevent_src=jobsearchDeskGNB, https://www.ambitionbox.com/salaries/amazon-salaries/software-engineer",98619
Software Developer,Software Developer,Nokia,Bengaluru,7.9- 9,"c++, rtos, linux, debugging, software development, dsp, algorithms, css, software design, device drivers, computer engineering, sql, java, git, oops, json, html, mysql, software engineering, api, c#, asic, rest, python, otn, javascript, driving, .net, sdk",2 week,https://www.naukri.com/job-listings-software-development-engineer-nokia-solutions-and-networks-india-p-ltd-bengaluru-0-to-2-years-210825928193?src=cluster&sid=17569873908751831_19&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,98619
JavaScript front end developer,Frontend Developer,Avom Consultants,Bengaluru,12- 22,"css, react js, Ember.Js, Rxjs, Backbone.Js, Vue.Js, react.js, Front End, UI, Typescript, Frontend Development, html, Web Development, Nestjs, angular js, Redux, JQuery, reactjs, Nuxtjs, angular.js, UI Development, Vuex, frontend developer, angularjs, Nextjs",1 week,https://www.naukri.com/job-listings-javascript-front-end-developer-avom-consultants-bengaluru-0-to-5-years-230825012952?src=jobsearchDesk&sid=17569873908751831_27&xp=1&px=1&nignbevent_src=jobsearchDeskGNB,38966
Frontend Developer,Frontend Developer,All In One Consultancy,Nagpur,2.25- 5,"Frontend Development, Typescript, Javascript, HTML, React.Js",1 week,https://www.naukri.com/job-listings-front-end-developer-all-in-one-consultancy-nagpur-0-to-2-years-220825028714?src=cluster&sid=17569873908751831_30&xp=2&px=1&nignbevent_src=jobsearchDeskGNB,38966
Frontend Developer,Frontend Developer,Nasiwak Services India Pvt Ltd,Bengaluru,3- 6,"Python, CSS, Javascript, HTML, React.Js",1 week,https://www.naukri.com/job-listings-front-end-developer-nasiwak-services-india-pvt-ltd-bengaluru-0-to-5-years-060825023524?src=cluster&sid=17569873908751831_34&xp=18&px=1&nignbevent_src=jobsearchDeskGNB,38966
Fullstack Web Developer (MERN/Django),FullStack Developer,Krishworks Technology And Research Labs,Bengaluru,5- 7,"Mern Stack, coding, Mean Stack, Django, problem - solving techniques, Firebase, Javascript, Html, Css",3 week,https://www.naukri.com/job-listings-fullstack-web-developer-mern-django-krishworks-technology-and-research-labs-bangalore-bengaluru-0-to-2-years-130825032570?src=jobsearchDesk&sid=17569873908751831_35&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,2270
FullStack Developer,FullStack Developer,Morpheme Webnexus,Noida,1.75- 2.5,"Langchain, Huggingface, MongoDB, React.Js, AWS, Artificial Intelligence, Postgresql, Redis, Node.Js, SQL, Rest, NoSQL, Dynamo Db, Nosql Databases",1 day,https://www.naukri.com/job-listings-fullstack-developer-morpheme-webnexus-noida-0-to-1-years-040925014775?src=jobsearchDesk&sid=17569873908751831_36&xp=6&px=2&nignbevent_src=jobsearchDeskGNB,2270
Mern Full Stack Developer,FullStack Developer,Acciojob,"Hyderabad, Pune, Bengaluru",6- 10,"DSA, Javascript, Node.Js, React.Js, Expresjs",2 day,https://www.naukri.com/job-listings-mern-full-stack-developer-acciojob-hyderabad-pune-bengaluru-0-to-1-years-010925021798?src=cluster&sid=17569873908751831_37&xp=5&px=1&nignbevent_src=jobsearchDeskGNB,2270
Back-End Developer - Fresher,Backend Developer,ti Steps,"Hyderabad, Chennai, Bengaluru",3- 4,"Backend, Restfull Api, Postgresql, MySQL, MongoDB, Node.Js",1 week,https://www.naukri.com/job-listings-back-end-developer-fresher-ti-steps-hyderabad-chennai-bengaluru-0-to-2-years-280825010122?src=jobsearchDesk&sid=17569873908751831_39&xp=9&px=2&nignbevent_src=jobsearchDeskGNB,116536
Data Analyst,Data Analyst,American Express,Gurugram,14.8- 20.1,"Power Bi, Tableau, SQL, Python",1 week,"https://www.naukri.com/job-listings-data-analyst-american-express-gurugram-0-to-5-years-280825012174?src=jobsearchDesk&sid=null&xp=1&px=1&nignbevent_src=jobsearchDeskGNB, https://www.glassdoor.co.in/Salary/American-Express-Data-Analyst-Salaries-E35_D_KO17,29.htm",2406
Analytics - Data Analyst,Data Analyst,Deutsche Bank,Mumbai,4.5- 10,"ms access, sql, vba, ssrs, ssis, python, sybase, data analysis, data analytics, data mining, business analytics, machine learning, data collection ,sql server, analytics reporting, data quality, tableau, data science, predictive modeling, reporting tools",3 week,"https://www.naukri.com/job-listings-analytics-data-analyst-deutsche-bank-ag-mumbai-0-to-0-years-080825931301?src=jobsearchDesk&sid=null&xp=5&px=1&nignbevent_src=jobsearchDeskGNB, https://www.ambitionbox.com/salaries/deutsche-bank-salaries/data-analyst",2406
Data Analyst,Data Analyst,Acciojob,Bengaluru,6- 8,"Aptitude, Excel, Power Bi, Problem Solving, SQL",2 week,https://www.naukri.com/job-listings-data-analyst-acciojob-bengaluru-0-to-1-years-220825008017?src=cluster&sid=17569873908751831_50&xp=2&px=1&nignbevent_src=jobsearchDeskGNB,2406
Artificial Intelligence Developer,AI/ML Engineer,SmartDocs Business Solutions,Bengaluru,6- 16,"SAS, ChemBerta, Artificial Intelligence, LLM, Machine Learning, Deep Learning",1 week,https://www.naukri.com/job-listings-artificial-intelligence-developer-smartdocs-business-solutions-hyderabad-0-to-5-years-260825013277?src=jobsearchDesk&sid=17570602931713585_1&xp=1&px=1&nignbevent_src=jobsearchDeskGNB,18105
Artificial Intelligence Engineer,AI/ML Engineer,Gizmeon Technologies,Kochi,5- 15,"Tensorflow, Artificial Intelligence, Natural Language Processing, Machine Learning, Python, Pytorch, Scipy, Langchain, Pandas, Scikit-Learn, Numpy, SQL",3 week,https://www.naukri.com/job-listings-artificial-intelligence-engineer-gizmeon-technologies-kochi-0-to-3-years-120825023463?src=jobsearchDesk&sid=17570602931713585_1&xp=9&px=1&nignbevent_src=jobsearchDeskGNB,18105
AI/ML Engineer at Rely Healthtech,AI/ML Engineer,Rely Healthcare Technologies,Gurugram,5.5- 15,"Deep Learning, Tensorflow, Object Detection, Cnn, Artificial Intelligence, Natural Language Processing, Neural Networks, Image Recognition, Machine Learning, Pytorch, Rnn, Opencv, Image Processing, Keras, Computer Vision, Python, OCR",1 day,https://www.naukri.com/job-listings-ai-ml-engineer-at-rely-healthtech-rely-healthcare-technologies-gurugram-0-to-4-years-050925023824?src=cluster&sid=17570602931713585_89&xp=2&px=2&nignbevent_src=jobsearchDeskGNB,18105
DevOps Engineer,DevOps,Thyrocare,Bengaluru,9- 10,"Cloud, Python, Kubernetes, Ci Cd Pipeline, Github, Ci/Cd, Security, Devops, Jenkins, Docker, Terraform, GCP, Ansible, Infrastructure, Microsoft Azure, Helm, AWS",3 week,https://www.naukri.com/job-listings-devops-engineer-thyrocare-bengaluru-0-to-3-years-130825003275?src=cluster&sid=17570602931713585_21&xp=7&px=1&nignbevent_src=jobsearchDeskGNB,633
Associate Software Engineer II - DevOps,DevOps,Optum,Noida,8- 12,"Unix, Github, Devops, SQL",1 week,https://www.naukri.com/job-listings-associate-software-engineer-ii-devops-optum-noida-0-to-3-years-280825024600?src=cluster&sid=17570602931713585_24&xp=10&px=2&nignbevent_src=jobsearchDeskGNB,633
DevOps Engineer,DevOps,Serviam Manpower,Mumbai,3- 5,"Linux Administration, Linux, Aws Devops",1 week,https://www.naukri.com/job-listings-devops-engineer-serviam-manpower-mumbai-suburban-0-to-1-years-280825017082?src=cluster&sid=17570602931713585_26&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,633
"Software Development, Testing, Se- curity Assessment and L1 support -",CyberSecurity Analyst,National Institute for Smart Government (NISG),Bengaluru,8- 12,"Software Development, Security Assessment, Testing",6 day,https://www.naukri.com/job-listings-software-development-testing-se-curity-assessment-and-l1-support-national-institute-for-smart-government-nisg-bengaluru-0-to-5-years-290825019207?src=cluster&sid=17570602931713585_31&xp=9&px=1&nignbevent_src=jobsearchDeskGNB,1090
Business Analyst,Business Analyst,JPMorgan Chase Bank,Bengaluru,10-19.6,"Excel, Operational risk, Legal compliance, Compliance, Business analysis, Analytical, Visio, Risk management, Financial services, Auditing",2 day,"https://www.naukri.com/job-listings-business-analyst-jp-morgan-chase-bengaluru-0-to-3-years-020925502861?src=jobsearchDesk&sid=17570602931713585_41&xp=2&px=1&nignbevent_src=jobsearchDeskGNB , https://www.ambitionbox.com/salaries/jpmorgan-chase-and-co-dot-salaries/business-analyst",1083
Business Analyst - Sourcing Associate,Business Analyst,Babaclick Trading,Gurugram,3.6- 7.2,"Communication Skills, Excellent Verbal And Written Communication Skills, Excel, Data Analysis, Procurement, Sourcer, Profitability Analysis, Problem Solving, Purchase Order, Sourcing, English Verbal And Written, English, Purchase Management, Po Creation, Procurement Management",1 day,https://www.naukri.com/job-listings-business-analyst-sourcing-associate-babaclick-trading-gurugram-0-to-3-years-220825008982?src=cluster&sid=17570602931713585_49&xp=3&px=3&nignbevent_src=jobsearchDeskGNB,1083
Mobile Application Developer,App Developer,Valtrium Llc,Bengaluru,6- 8.4,"Swift Ui, Flutter, React Native, IOS, English, API, Hindi, Mobile Application Development",1 day,https://www.naukri.com/job-listings-mobile-application-developer-valtrium-llc-bengaluru-0-to-5-years-050925017614?src=cluster&sid=17570602931713585_55&xp=2&px=2&nignbevent_src=jobsearchDeskGNB,1096
Software Tester,Software Tester,vhr Professional Services,Remote,20-30,"QA Testing, Software Testing, Software, Manual Testing, QA, Use Cases, Test Data, Feedback, Quality Analysis, Automation Testing, IT, Information Technology",4 day,https://www.naukri.com/job-listings-software-tester-vhr-professional-services-australia-0-to-5-years-180825001023?src=cluster&sid=17570602931713585_88&xp=1&px=1&nignbevent_src=jobsearchDeskGNB,20933
Software Test Engineer,Software Tester,Salescode.ai,Gurugram,6- 9,"Java, QA Testing, Software Testing, Selenium, JMeter, Test Engineering, API Testing, Appium, QA Automation, Python",1 month,https://www.naukri.com/job-listings-software-test-engineer-salescode-ai-gurugram-0-to-1-years-060825016158?src=jobsearchDesk&sid=17570602931713585_92&xp=3&px=2&nignbevent_src=jobsearchDeskGNB,20933
"Software Tester, QA, Manual, Automation - Fresher To Experience",Software Tester,Amar InfoTech,Ahemdabad,1.25- 6.25,"Software Testing, Manual Testing, fresherAutomation, Testing, Test Cases, Bug Life Cycle, QC Inspection, Software Testing Life Cycle, Quality Testing, Quality Engineering, Bug Reporting, QA Testing, Quality Analysis, Fresher Hiring, Quality Assurance, Web Testing, Quality Control",2 week,https://www.naukri.com/job-listings-software-tester-qa-manual-automation-fresher-to-experience-amar-infotech-ahmedabad-0-to-5-years-200825029726?src=jobsearchDesk&sid=17570602931713585_94&xp=2&px=4&nignbevent_src=jobsearchDeskGNB,20933
IT Service Desk Analyst,Technical Support,Wipro,"Kolkata, Gurugram, Hyderabad",2.3- 6.9,"Service Desk, L1 Support, Helpdesk, Desktop Support, Technical Helpdesk",2 week ,"https://www.naukri.com/job-listings-it-service-desk-analyst-wipro-kolkata-hyderabad-bengaluru-0-to-1-years-220825026662?src=jobsearchDesk&sid=17570755020943000_20&xp=1&px=1&nignbevent_src=jobsearchDeskGNB , https://www.ambitionbox.com/salaries/wipro-salaries/service-desk-analyst",2848
International Service Desk/ Technical Support,Technical Support,KVC CONSULTANTS LTD,"Hyderabad, Pune, Bengaluru",4- 6,"Service Desk, International, TECH MAHINDRA, IT Helpdesk, L1 Support, Servicenow, SLA, Voice Process, Active Directory, Outlook Configuration, CONCENTRIX, Desktop Support, IT Service Desk, Technical Helpdesk, Technical Support, WIPRO, MS Office Outlook, International Voice Process",2 week,https://www.naukri.com/job-listings-international-service-desk-technical-support-kvc-consultants-ltd-hyderabad-pune-bengaluru-0-to-5-years-090425008792?src=cluster&sid=17570755020943000_22&xp=2&px=1&nignbevent_src=jobsearchDeskGNB,2848
Network Engineer Fresher,Network Engineer,Oasis Technology And Consulting Services,"Tirupati, Chennai, Coimbatore",3- 8,"Network Support, CCNA, Desktop Support, AWS, MCSA, LAN Troubleshooting, Hardware Networking, System Administration, MCSE, IT Support, Server Administration, Server Support, Technical Support, Microsoft Azure, Network Troubleshooting, CCNP",1 month,https://www.naukri.com/job-listings-network-engineer-fresher-oasis-technology-and-consulting-services-tirupati-chennai-coimbatore-0-to-1-years-240625012924?src=jobsearchDesk&sid=17570763910633853_1&xp=1&px=1&nignbevent_src=jobsearchDeskGNB,569
Network Engineer Fresher,Network Engineer,Networkkings It Services,"Noida, Gurugram, Delhi / NCR",3- 6,"Hardware Networking, Network Support, CCNA, Desktop Support, CCNP, MCSA, System Administration, MCSE, IT Support, Server Support, Technical Support, Microsoft Azure, Network Troubleshooting, AWS",4 day,https://www.naukri.com/job-listings-network-engineer-fresher-networkkings-it-services-noida-gurugram-delhi-ncr-0-to-2-years-010925010388?src=cluster&sid=17570763910633853_6&xp=5&px=1&nignbevent_src=jobsearchDeskGNB,569
Product Sourcing Engineer - X Ray Devices,Product Engineer,Philips,Pune,4- 11,"Process optimization, Project management, Process capability, DFX, Strategic sourcing, Healthcare, Product design, RFP, Cost, Cost planning",1 month,"https://www.naukri.com/job-listings-product-sourcing-engineer-x-ray-devices-philips-india-limited-pune-0-to-2-years-020825501082? , https://www.glassdoor.co.in/Salary/Philips-Product-Engineer-Salaries-E3496_D_KO8,24.htmsrc=cluster&sid=17570763910633853_25&xp=1&px=1&nignbevent_src=jobsearchDeskGNB",1399
Product Support Engineer,Product Engineer,Baldor Technologies,Mumbai,4- 6.5,"Product Support, Ticketing Tools, SQL Queries, Troubleshooting, Monitoring Tools, RESTAPI, Freshdesk, Kibana, Ticket Management, Zendesk, JIRA, Grafana",1 month,https://www.naukri.com/job-listings-product-support-engineer-baldor-technologies-mumbai-0-to-3-years-050825032807?src=cluster&sid=17570763910633853_27&xp=7&px=1&nignbevent_src=jobsearchDeskGNB,1399
