Standard_Title,CompanyName,avg_salary_inr,skills_list
Software Engineer,Google,1800000,"['Java', 'Python', 'C++', 'Data Structures', 'Algorithms', 'Problem-solving', 'Object-Oriented Programming', 'Software Design Principles', 'Version Control (Git)', 'Testing and Debugging', 'Communication', 'Teamwork', 'Agile Development', 'SQL', 'Cloud Computing (GCP preferred)']"
Software Engineer,Microsoft,1200000,"['Java', 'Python', 'C#', 'C++', 'Data Structures', 'Algorithms', 'SQL', 'Object-Oriented Programming', 'Problem-solving', 'Version Control (Git)', 'Agile Methodologies', 'Teamwork', 'Communication', 'Debugging', 'Testing']"
AI/ML Engineer,Apple,1800000,"['Python', 'TensorFlow', 'PyTorch', 'Scikit-learn', 'Pandas', 'NumPy', 'SQL', 'Data Wrangling', 'Machine Learning Algorithms', 'Deep Learning', 'Model Deployment', 'Version Control (Git)', 'Communication', 'Problem-solving', 'Teamwork']"
AI/ML Engineer,NVIDIA,1200000,"['Python', 'TensorFlow', 'PyTorch', 'Scikit-learn', 'Pandas', 'NumPy', 'SQL', 'Data Visualization (Matplotlib, Seaborn)', 'Machine Learning Algorithms (Regression, Classification, Clustering)', 'Deep Learning', 'Model Deployment', 'Git', 'Problem-solving', 'Communication', 'Teamwork', 'Linux']"
App Developer,Meta,1200000,"['Java', 'Kotlin', 'React Native', 'Android SDK', 'iOS SDK', 'REST APIs', 'Git', 'Agile Development', 'Problem-solving', 'Debugging', 'Version Control', 'Communication', 'Teamwork', 'Object-Oriented Programming', 'Unit Testing']"
App Developer,Spotify,700000,"['Java', 'Kotlin', 'Android SDK', 'iOS SDK (Swift/Objective-C)', 'REST APIs', 'JSON', 'Git', 'Agile development', 'Problem-solving', 'Debugging', 'Version control', 'Testing (unit and integration)', 'UI/UX understanding', 'Communication', 'Teamwork']"
Backend Developer,Amazon,800000,"['Java', 'Python', 'SQL', 'NoSQL Databases (e.g., DynamoDB, MongoDB)', 'RESTful APIs', 'Microservices Architecture', 'AWS Services (e.g., EC2, S3, Lambda)', 'Git', 'Agile Development', 'Problem-solving', 'Communication', 'Teamwork', 'Debugging', 'Object-Oriented Programming (OOP)', 'Data Structures and Algorithms']"
Backend Developer,Netflix,1800000,"['Java', 'Python', 'Node.js', 'Spring Boot', 'Microservices', 'RESTful APIs', 'Databases (SQL & NoSQL)', 'Git', 'Agile Development', 'Problem-solving', 'Communication', 'Teamwork', 'Linux', 'Docker', 'Cloud Platforms (AWS/GCP/Azure)']"
Business Analyst,McKinsey & Company,1500000,"['Problem-solving', 'Analytical skills', 'Data analysis (Excel, SQL)', 'Financial modeling', 'Market research', 'Presentation skills', 'Communication (written & verbal)', 'Client interaction', 'Teamwork', 'Project management', 'Storytelling', 'Business acumen', 'Microsoft Office Suite', 'Data visualization (Tableau, Power BI)', 'Strategic thinking']"
Business Analyst,Deloitte,600000,"['Requirements Elicitation', 'Data Analysis', 'SQL', 'Excel (Advanced)', 'Presentation Skills', 'Communication (Written & Verbal)', 'Problem-solving', 'Analytical Skills', 'Business Process Modeling', 'Stakeholder Management', 'Microsoft PowerPoint', 'Microsoft Word', 'Report Writing', 'Data Visualization (Tableau/Power BI)', 'Agile Methodologies']"
